deep_id	collection	greg_full	work_id
5070.01		274b	274
5070.02		275b	275
5071	c29a	n/a	2029
5071.01		291a	291
5072	c30a	n/a	2030
5072.01		311a(†)	311
5072.02		312a	312
5073	c31a	n/a	2031
5073.01		318a	318
5073.02		319a	319
5074	c32a(i)	n/a	2032
5074.01		176b	176
5074.02		163d(*)	163
5074.03		163d(†)	163
5074.04		163d(§)	163
5074.05		163d(‡)	163
5074.06		181b(*)	181
5074.07		181b(†)	181
5074.08		186b(*)	186
5074.09		186b(†)	186
5074.10		186b(§)	186
5074.11		216b	216
5074.12		259b	259
5074.13		304b(*)	304
5074.14		304b(†)	304
5074.15		303b	303
5074.16		296b	296
5074.17		200b	200
5074.18		201b	201
5074.19		339a	339
5074.20		340a	340
5074.21		341a	341
5074.22		269b	269
5074.23		270b	270
5074.24		237b	237
5074.25		271b	271
5074.26		280b	280
5074.27		342a	342
5074.28		343a	343
5074.29		344a	344
5074.30		345a	345
5074.31		346a	346
5074.32		347a	347
5074.33		348a	348
5074.34		349a	349
5075	c32a(ii)	n/a	2032
5076	c32b	n/a	2032
5076.01		176c	176
5076.02		163e	163
5076.03		181c	181
5076.04		186c	186
5076.05		216c	216
5076.06		259c	259
5076.07		304d	304
5076.08		303c	303
5076.09		296e	296
5076.10		200c	200
5076.11		201c	201
5076.12		339b	339
5076.13		340b	340
5076.14		341b	341
5076.15		269c	269
5076.16		270c	270
5076.17		237c	237
5076.18		271c	271
5076.19		280c	280
5076.20		342b	342
5076.21		343b	343
5076.22		344b	344
5076.23		345b	345
5076.24		346b	346
5076.25		347b	347
5076.26		348b	348
5076.27		349b	349
5077	c33a	n/a	2033
5077.01		119c	119
5077.02		138c	138
5077.03		284d	284
5078	c34a	n/a	2034
5078.01		369a	369
5078.02		370a	370
5078.03		371a	371
5078.04		372a	372
5078.05		373a	373
5078.06		374a	374
5078.07		375a	375
